순번,의료기관명,의료기관주소(도로명),의료기관전화번호
286,한독외과의원,부산광역시 금정구 서동로 75-5 (부곡동),051-515-4680
287,조기종치과의원,"부산광역시 금정구 부곡로 77, 1,2층 (부곡동)",051-515-5131
288,패밀리치과의원,"부산광역시 금정구 중앙대로 1967, 3층 (구서동)",051-517-4441
289,국민한의원,부산광역시 금정구 금강로 464 (구서동),051-516-2761
290,두실부부치과의원,"부산광역시 금정구 중앙대로 1939, 4층 (구서동)",051-512-2804
291,박기봉치과의원,부산광역시 금정구 중앙대로1985번길 1 (남산동),051-516-8544
292,이강민치과의원,"부산광역시 금정구 중앙대로 2021, 2층 (남산동)",051-516-9604
293,성수치과의원,"부산광역시 금정구 금강로 231, 2층 (장전동)",051-517-3463
294,내성한의원,부산광역시 금정구 부산대학로64번길 135 (장전동),051-517-0121
295,정인영치과의원,부산광역시 금정구 중앙대로 1927 (구서동),051-517-8000
296,김혁한치과의원,부산광역시 금정구 금사로 97 (금사동),051-531-5351
297,누가정형외과재활의학과의원,"부산광역시 금정구 금사로 122, 1,2층 (금사동)",051-531-2331
298,모철호치과의원,"부산광역시 금정구 금정로60번길 2, 3층 (장전동)",051-515-2275
299,윤치과의원,"부산광역시 금정구 부곡로 112, 2층 (부곡동)",051-516-2882
300,송광한의원,부산광역시 금정구 중앙대로 2039 (남산동),051-515-5673
301,장전치과의원,부산광역시 금정구 금강로 342 (장전동),051-581-2220
302,김건치과의원,"부산광역시 금정구 구서로 17, 5층 (구서동)",051-582-2211
303,박민근외과의원,부산광역시 금정구 서동중심로 15 (서동),051-521-3609
304,한사랑의원,"부산광역시 금정구 동현로16번길 76, 3층 (부곡동)",051-512-3617
305,김경수내과의원,"부산광역시 금정구 부곡로 91, 2층 (부곡동)",051-512-4142
306,세림한의원,부산광역시 금정구 서부로 16 (서동),051-521-1011
307,최우근내과의원,"부산광역시 금정구 금강로 563, 2층 (구서동)",051-514-9795
308,대도한의원,부산광역시 금정구 금단로175번길 37 (남산동),051-512-6656
309,동경한의원,부산광역시 금정구 금정로 147-1 (장전동),051-513-7595
310,부산광역시금정구보건소,부산광역시 금정구 중앙대로 1777 (부곡동),051-519-5051
311,성봉훈치과의원,부산광역시 금정구 서동로 161 (서동),051-527-6204
312,조상호치과의원,부산광역시 금정구 서동로 147 (서동),051-522-6444
313,채경석비뇨기과의원,부산광역시 금정구 서동로 164 (서동),051-526-6391
314,보리한의원,부산광역시 금정구 중앙대로 1839 (구서동),051-516-0123
315,김안과의원,부산광역시 금정구 서동로 161 (서동),051-527-9839
316,동신외과의원,부산광역시 금정구 금정로 55 (장전동),051-582-1001
317,후생한의원,부산광역시 금정구 서부로 8 (서동),051-527-6633
318,성심의원,"부산광역시 금정구 무학송로 106, 2층 (부곡동)",051-512-0288
319,세종외과의원,부산광역시 금정구 금사로 53-1 (서동),051-523-3028
320,권미경치과의원,부산광역시 금정구 서동로 164 (서동),051-526-7081
321,든든한덕모신경외과의원,부산광역시 금정구 가마실로 21-1 (부곡동),051-513-5666
322,정성일의원,"부산광역시 금정구 서동로 105, 3층 (서동)",051-524-2947
323,금정성모내과의원,부산광역시 금정구 금강로 339 (장전동),051-512-3369
324,성모정형외과의원,"부산광역시 금정구 반송로 385, 1,2층 (서동)",051-522-3123
325,박종성내과의원,부산광역시 금정구 서동로 165 (서동),051-523-9339
326,김종주의 행복의원,부산광역시 금정구 수림로 51 (장전동),051-581-4004
327,구서치과의원,부산광역시 금정구 구서로 20 (구서동),051-581-0081
328,한독의원,부산광역시 금정구 금강로415번길 1 (구서동),051-582-1302
329,태명산내과의원,"부산광역시 금정구 부곡로 115, 2층 (부곡동)",051-513-0011
330,김봉겸치과의원,부산광역시 금정구 금강로 294 (장전동),051-518-5155
331,김상천치과의원,부산광역시 금정구 서동로 145 (서동),051-523-8603
,,,
1,지온병원,"부산광역시 금정구 온천장로 146, 지하1,지상3~11층 (장전동)",051-714-5770
2,금정어린이병원,"부산광역시 금정구 금정로 244, 2~5층 (구서동)",051-967-5225
3,화창한병원,"부산광역시 금정구 중앙대로1685번길 12, 지하2~6층 (부곡동)",051-514-9119
4,단골병원,"부산광역시 금정구 중앙대로 1829, 5~10, 14층 12~13층 일부호 (구서동)",051-582-0100
5,의료법인세왕의료재단 세왕요양병원,부산광역시 금정구 식물원로9번길 37 (장전동),051-468-9700
6,더희망찬병원,부산광역시 금정구 부곡로 130 (부곡동),051-255-0200
7,양지요양병원,부산광역시 금정구 금강로 209 (장전동),051-582-5757
8,부산마이크로병원,부산광역시 금정구 중앙대로 1875 (구서동),051-514-1400
9,의료법인 천지의료재단 금샘요양병원,부산광역시 금정구 남산냇길 111 (청룡동),051-931-0119
10,금정형주요양병원,부산광역시 금정구 금강로 638 (남산동),051-532-7533
11,푸른숲요양병원,"부산광역시 금정구 금강로 592, 지1,1,3-7층 (구서동)",051-714-0098
12,의료법인선우의료재단  BHS동래한서요양병원,부산광역시 금정구 중앙대로 1721 (부곡동),051-509-3000
13,순병원,부산광역시 금정구 중앙대로 1701 (부곡동),051-515-0005
14,의료법인좋은사람들의료재단 관자재요양병원,부산광역시 금정구 금단로 140-2 (남산동),051-516-9898
15,온사랑병원,부산광역시 금정구 서동로 197-1 (서동),051-555-0808
16,메드윌병원,"부산광역시 금정구 중앙대로 1951 (구서동, 메드월병원)",051-519-8000
17,의료법인나눔의료재단 행림요양병원,부산광역시 금정구 중앙대로 1905 (구서동),051-517-8211
18,새우리남산병원,부산광역시 금정구 중앙대로 2025 (남산동),051-516-9999
19,서동제일요양병원,"부산광역시 금정구 서동로 172, 지하1,2지상3~9층 (서동)",051-529-5500
20,의료법인아너의료재단 아름다운강산병원,부산광역시 금정구 공단로 7 (금사동),051-526-7100
21,사랑요양병원,부산광역시 금정구 중앙대로 1590 (부곡동),051-514-7277
22,의료법인 동일의료재단 금정나라요양병원,부산광역시 금정구 무학송로 143(부곡동),051-513-1284
23,의료법인 영파의료재단 규림요양병원,부산광역시 금정구 금샘로 59 (장전동),051-582-1234
24,부곡요양병원,부산광역시 금정구 부곡로 56 (부곡동),051-512-6900
25,의료법인대성사랑의료재단 제일요양병원,부산광역시 금정구 서부로 56 (서동),051-527-3800
26,의료법인해림의료재단 부산금사요양병원,"부산광역시 금정구 반송로 470, 2~7층 (금사동)",051-521-7581
27,보람요양병원,부산광역시 금정구 중앙대로 1961 (구서동),051-514-0075
28,의료법인 삼세의료재단 삼세한방병원,부산광역시 금정구 중앙대로 1580 (부곡동),051-583-5400
29,세웅병원,부산광역시 금정구 서동로 162 (서동),051-500-9700
30,다움병원,부산광역시 금정구 체육공원로 608 (두구동),051-508-0011
31,의료법인영파의료재단 마음향기병원,부산광역시 금정구 금샘로 56 (장전동),051-516-1220
